City,Cloudliness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Luganville,88,VU,1554226950,100,-15.51,167.18,80.99,6.4
Lyngseidet,75,NO,1554226955,100,69.58,20.21,37.4,24.16
Maceio,75,BR,1554224400,70,-9.67,-35.74,84.2,8.05
Kenai,90,US,1554226924,100,60.55,-151.26,30.99,4.5
Erzurum,75,TR,1554223800,74,39.91,41.27,35.6,11.41
Tongchuan,8,CN,1554224400,66,34.9,108.95,48.2,4.47
Victor Harbor,0,AU,1554227230,58,-35.55,138.62,64.99,2.24
Pisco,0,PE,1554224400,30,-13.71,-76.2,71.6,10.29
Airai,56,TL,1554226433,85,-8.93,125.41,69.29,0.13
Den Helder,90,NL,1554227165,87,52.96,4.76,53.01,9.17
Port Shepstone,92,ZA,1554227312,100,-30.74,30.45,64.97,2.48
Manicore,8,BR,1554227100,42,-5.81,-61.3,97.19,2.93
Coahuayana,0,MX,1554227274,22,18.62,-100.35,85.13,3.04
Carmelo,40,UY,1554226212,55,-34,-58.28,87.8,12.75
Esperance,40,TT,1554226506,49,10.24,-61.45,89.6,17.22
Avera,90,US,1554226861,76,33.19,-82.53,59,9.17
Goderich,76,CA,1554226707,71,43.74,-81.71,46.99,15.99
Nouadhibou,20,MR,1554224400,64,20.93,-17.03,69.8,9.17
Ancud,75,CL,1554224400,67,-41.87,-73.83,59,8.05
Pontal do Parana,20,BR,1554226720,58,-25.67,-48.51,84.2,6.93
Dembi Dolo,8,ET,1554226826,55,8.53,34.8,72.89,2.93
Moerai,36,PF,1554227102,93,-22.43,-151.33,80.63,14.67
Ukiah,90,US,1554227072,87,39.15,-123.21,55,2.59
Sitka,68,US,1554226735,57,37.17,-99.65,57.59,13.67
Raudeberg,20,NO,1554226803,42,61.99,5.14,46.4,9.17
Muyezerskiy,8,RU,1554226819,74,63.93,31.65,35.81,8.08
Tiksi,48,RU,1554226805,75,71.64,128.87,4.94,2.37
Launceston,68,AU,1554226849,87,-41.43,147.14,55.99,10.29
Doka,0,SD,1554227250,19,13.52,35.76,77.48,10.76
Chongwe,0,ZM,1554226786,44,-15.33,28.68,74.87,6.62
Ranong,24,TH,1554226822,100,9.96,98.62,82.25,3.04
Carmelo,40,UY,1554226212,55,-34,-58.28,87.8,12.75
Athni,20,IN,1554227197,40,16.73,75.07,78.02,11.99
Luderitz,0,NA,1554226318,77,-26.65,15.16,61.1,9.64
Trebisacce,40,IT,1554226813,87,39.87,16.53,59,2.24
Thunder Bay,90,CA,1554226917,60,48.41,-89.26,42.8,12.75
Margate,0,AU,1554226455,62,-43.03,147.26,60.01,8.05
Carnarvon,0,ZA,1554226490,24,-30.97,22.13,57.5,2.15
North Bend,90,US,1554226828,93,43.41,-124.22,55.99,3.36
Bereda,40,ES,1554226441,66,43.27,-7.54,55,10.29
Batagay-Alyta,88,RU,1554227313,75,67.8,130.41,7.82,2.71
Tongchuan,8,CN,1554224400,66,34.9,108.95,48.2,4.47
Muros,40,ES,1554227113,66,42.77,-9.06,59,11.41
Klyuchi,20,RU,1554227340,80,52.25,79.17,40.04,8.52
Yulara,0,AU,1554224400,23,-25.24,130.99,62.6,6.93
Samarkand,92,UZ,1554226200,82,39.65,66.98,62.6,6.51
Doka,0,SD,1554227250,19,13.52,35.76,77.48,10.76
Kavieng,48,PG,1554226941,99,-2.57,150.8,84.14,10.65
Bontang,76,ID,1554226934,100,0.12,117.47,76.4,5.06
Bethel,1,US,1554224160,100,60.79,-161.76,28.4,8.05
Mangan,0,IN,1554227003,61,27.5,88.54,23.84,2.59
Raudeberg,20,NO,1554226803,42,61.99,5.14,46.4,9.17
Roald,0,NO,1554226803,70,62.58,6.12,46.4,11.41
Grand-Santi,88,GF,1554226706,46,4.27,-54.38,92.6,2.71
Huicheng,75,CN,1554224400,88,23.03,116.29,66.2,4.47
Ponta do Sol,20,BR,1554226868,92,-20.63,-46,77.93,4.38
Tongliao,0,CN,1554227271,42,43.61,122.27,26.99,11.77
Shimoda,0,JP,1554227111,40,34.7,138.93,39.99,16.58
Dubbo,0,AU,1554226638,94,-32.25,148.6,55.07,7.07
Seoul,1,KR,1554226200,71,37.57,126.98,41,1.12
Zhanaozen,92,KZ,1554226990,96,43.35,52.85,42.29,13.67
Saint-Michel-des-Saints,20,CA,1554226067,6,46.68,-73.92,39.99,5.99
Tomatlan,0,MX,1554226954,64,19.93,-105.25,80.72,3.38
Taber,75,CA,1554227132,56,49.79,-112.14,45,3.36
Pakxe,68,LA,1554227351,90,15.12,105.78,74.96,2.59
Goure,0,NE,1554226972,13,13.98,10.27,94.04,11.77
Srednekolymsk,24,RU,1554227384,85,67.46,153.71,4.94,2.37
Clyde River,90,CA,1554224400,84,70.47,-68.59,3.2,32.21
Gilgit,0,PK,1554226896,98,35.92,74.31,25.37,0.47
Mataura,0,NZ,1554226207,91,-46.19,168.86,44.01,3.49
Butaritari,76,KI,1554226713,100,3.07,172.79,77.21,6.06
Biak,92,ID,1554227162,100,-0.91,122.88,74.87,2.37
Dire,0,ET,1554227265,70,9.18,38.92,54.62,2.59
Tasiilaq,90,GL,1554223800,85,65.61,-37.64,23,20.8
Trincomalee,0,LK,1554227139,87,8.58,81.23,75.5,5.73
Pemba,20,MZ,1554224400,74,-12.97,40.52,82.4,16.11
Buctzotz,8,MX,1554227111,39,21.2,-88.79,93.23,3.94
Nuuk,90,GL,1554223800,93,64.17,-51.74,37.4,8.05
Lebu,0,ET,1554226747,70,8.96,38.73,54.62,2.59
Dhone,0,IN,1554227135,60,15.4,77.87,77.84,3.15
Shimoda,0,JP,1554227111,40,34.7,138.93,39.99,16.58
Sagua la Grande,20,CU,1554223800,40,22.81,-80.07,87.8,5.82
Port Alfred,48,ZA,1554226144,83,-33.59,26.89,64,5.01
Progreso,40,UY,1554226361,62,-34.68,-56.22,84.2,6.93
Hilo,40,US,1554226394,72,19.71,-155.08,72,5.82
Lyngseidet,75,NO,1554226955,100,69.58,20.21,37.4,24.16
Sitka,68,US,1554226735,57,37.17,-99.65,57.59,13.67
Villa Carlos Paz,20,AR,1554226226,43,-31.42,-64.5,91,9.17
Uribia,20,CO,1554227279,43,11.71,-72.27,90.44,16.13
Cowra,0,AU,1554226292,93,-33.84,148.69,52,3
Lichinga,20,MZ,1554226993,79,-13.3,35.25,70.55,5.95
New Grove,1,US,1554226919,49,37.24,-92.66,60.01,16.11
Yendi,36,GH,1554227177,32,9.45,0,98.09,7.07
Khatanga,68,RU,1554226732,92,71.98,102.47,19.7,6.73
Bathsheba,20,BB,1554224400,55,13.22,-59.52,86,26.4
Hualmay,8,PE,1554226940,74,-11.1,-77.61,75.05,4.38
Jaisalmer,0,IN,1554226729,35,26.91,70.91,75.05,2.59
Hervey Bay,64,AU,1554226531,88,-25.3,152.85,69.01,8.05
Moindou,0,NC,1554226200,88,-21.69,165.68,68,2.24
Sorland,40,NO,1554225600,80,67.67,12.69,41,14.99
Palana,64,RU,1554227116,74,59.08,159.95,32.12,9.19
Vilyuysk,64,RU,1554227083,89,63.75,121.63,30.14,6.17
Ixtapa,5,MX,1554227110,69,20.71,-105.21,79,5.82
New Grove,1,US,1554226919,49,37.24,-92.66,60.01,16.11
Sisimiut,100,GL,1554227018,100,66.94,-53.67,29.15,3.38
Lakes Entrance,0,AU,1554226751,93,-37.88,147.99,53.01,5.5
Fort Nelson,90,CA,1554224400,92,58.81,-122.69,28.4,8.05
Klaksvik,44,FO,1554225600,69,62.23,-6.59,37.4,25.28
La Ronge,75,CA,1554224400,52,55.1,-105.3,19.4,21.92
Kenai,90,US,1554226924,100,60.55,-151.26,30.99,4.5
Wanning,0,AT,1554227304,39,48.64,13.53,64.4,6.93
Sitka,68,US,1554226735,57,37.17,-99.65,57.59,13.67
Toora-Khem,64,RU,1554227218,83,52.47,96.11,30.05,4.16
Manicore,8,BR,1554227100,42,-5.81,-61.3,97.19,2.93
Los Llanos de Aridane,75,ES,1554226560,77,28.66,-17.92,62.6,14.99
Sam Chuk,8,TH,1554227377,93,14.75,100.09,74.51,3.71
Qasigiannguit,75,GL,1554223800,69,68.82,-51.19,37.4,24.16
Erzurum,75,TR,1554223800,74,39.91,41.27,35.6,11.41
Bulawayo,0,ZW,1554226597,50,-20.16,28.59,71.63,14.56
Navsari,0,IN,1554222600,88,20.95,72.93,78.8,4.7
Bayji,44,IQ,1554227286,84,34.93,43.49,52.28,2.15
Cape Town,0,ZA,1554226583,49,-33.93,18.42,69.8,11.41
San Carlos de Bariloche,0,AR,1554224400,21,-41.13,-71.31,68,13.87
East London,40,ZA,1554224400,93,-33.02,27.91,60.8,3.36
Mtimbira,48,TZ,1554226811,90,-8.78,36.35,69.83,2.04
Kayerkan,56,RU,1554227329,76,69.35,87.76,18.89,2.93
Albany,75,US,1554226604,23,42.65,-73.75,50,20.8
Jasper,0,US,1554226877,35,33.83,-87.28,64.4,3.94
Algete,20,ES,1554226743,45,40.6,-3.5,64,10.29
Mokrousovo,88,RU,1554226795,83,55.81,66.77,29.96,6.4
Kirksville,75,US,1554225300,66,40.19,-92.58,50,11.41
Genhe,36,CN,1554226870,58,50.78,121.52,16.82,7.63
Srednekolymsk,24,RU,1554227384,85,67.46,153.71,4.94,2.37
Port Hedland,0,AU,1554224400,94,-20.31,118.58,77,9.17
Evensk,0,RU,1554226907,86,61.92,159.24,31.49,11.54
Eching,0,DE,1554227292,41,48.5,12.06,64.4,8.05
Hamilton,75,CA,1554226469,52,43.26,-79.87,52,16.11
Port Moresby,88,PG,1554227058,95,-9.47,147.16,83.15,6.4
Kaitangata,8,NZ,1554226760,70,-46.28,169.85,46,3
Sept-Iles,20,CA,1554226703,56,50.2,-66.38,34,16.11
Yarim,0,YE,1554227221,73,14.3,44.38,56.06,3.38
Aswan,0,EG,1554227226,39,24.09,32.9,62.99,2.48
Pemba,20,MZ,1554224400,74,-12.97,40.52,82.4,16.11
Bluff,0,AU,1554226318,69,-23.58,149.07,67.31,10.42
Presidente Medici,8,BR,1554227149,65,-11.18,-61.9,90.8,3.04
Yulara,0,AU,1554224400,23,-25.24,130.99,62.6,6.93
Harper,1,US,1554226839,42,30.3,-99.24,66.99,9.17
Finschhafen,68,PG,1554227092,97,-6.6,147.85,72.89,0.58
San Cristobal,75,EC,1554226263,60,-0.39,-78.55,68,5.82
Port Moresby,88,PG,1554227058,95,-9.47,147.16,83.15,6.4
Penarroya-Pueblonuevo,20,ES,1554226213,43,38.3,-5.27,71.6,5.82
Saint-Philippe,75,CA,1554226708,44,45.36,-73.48,46,13.87
Port Alfred,48,ZA,1554226144,83,-33.59,26.89,64,5.01
Port Keats,0,AU,1554226873,86,-14.25,129.55,74.69,6.4
Vao,20,EE,1554226544,77,59.1,26.19,31.4,5.73
Kwinana,0,AU,1554227001,72,-32.25,115.77,69.01,14.99
Ruteng,64,ID,1554226649,96,-8.61,120.46,71.45,3.15
Lincoln,75,GB,1554226845,75,53.23,-0.54,46.4,12.75
Sarka Ghat,0,IN,1554227019,52,31.7,76.73,56.6,4.38
Qaanaaq,0,GL,1554226758,74,77.48,-69.36,-0.46,8.41
Faanui,0,PF,1554226764,100,-16.48,-151.75,84.23,11.21
Kaliua,36,TZ,1554227327,87,-5.06,31.79,70.37,2.15
Huanren,0,CN,1554226746,72,41.26,125.37,16.82,2.15
Stanger,75,ZA,1554226916,93,-29.34,31.29,64.99,5.82
Novopskov,92,UA,1554226979,72,49.54,39.1,39.32,15.57
Sao Jose da Coroa Grande,88,BR,1554226581,90,-8.9,-35.15,81.71,8.08
Esperance,40,TT,1554226506,49,10.24,-61.45,89.6,17.22
Marshfield,1,US,1554226862,29,42.09,-70.71,53.01,14.99
Avarua,8,CK,1554224400,83,-21.21,-159.78,78.8,14.99
Port Shepstone,92,ZA,1554227312,100,-30.74,30.45,64.97,2.48
Bereda,40,ES,1554226441,66,43.27,-7.54,55,10.29
Jasper,0,US,1554226877,35,33.83,-87.28,64.4,3.94
Flinders,0,AU,1554227105,100,-34.58,150.85,59,2.71
Abilene,1,US,1554227056,34,32.45,-99.73,68,19.46
Shingu,12,JP,1554226983,100,33.72,135.99,47.69,16.46
Hovd,0,NO,1554226517,48,63.83,10.7,42.8,8.05
Lyngseidet,75,NO,1554226955,100,69.58,20.21,37.4,24.16
Mus,44,FR,1554226928,71,43.74,4.2,59,5.82
Fare,0,PF,1554227066,97,-16.7,-151.02,84.41,10.42
Aklavik,90,CA,1554224400,65,68.22,-135.01,6.8,11.41
Alugan,68,PH,1554227173,94,12.22,125.48,77.39,9.64
Bantou,88,CN,1554226567,96,26.22,117.49,53.54,2.15
Olinala,0,MX,1554226825,31,17.83,-98.85,86.12,2.59
Severo-Kurilsk,88,RU,1554226898,99,50.68,156.12,30.77,18.7
Goundam,0,ML,1554227380,17,16.42,-3.66,101.33,8.41
Dire,0,ET,1554227265,70,9.18,38.92,54.62,2.59
Kysyl-Syr,76,RU,1554226756,81,63.9,122.77,21.32,2.71
Petaluma,90,US,1554227048,100,38.23,-122.64,57.99,3.49
Ouesso,68,CG,1554227212,88,1.61,16.05,77.57,3.94
Sept-Iles,20,CA,1554226703,56,50.2,-66.38,34,16.11
Kizema,80,RU,1554226917,91,61.11,44.83,30.05,7.4
Vao,20,EE,1554226544,77,59.1,26.19,31.4,5.73
Tomohon,40,ID,1554226200,94,1.33,124.84,75.2,1.14
Sarakhs,0,TM,1554224400,82,36.54,61.16,60.8,2.59
Yulara,0,AU,1554224400,23,-25.24,130.99,62.6,6.93
Voi,88,KE,1554226872,97,-3.4,38.57,70.91,3.15
Walvis Bay,0,NA,1554224531,52,-22.95,14.51,69.8,8.05
Santa Marta,75,CO,1554226474,62,11.24,-74.21,90,9.17
Gilgit,0,PK,1554226896,98,35.92,74.31,25.37,0.47
Nuuk,90,GL,1554223800,93,64.17,-51.74,37.4,8.05
Sarakhs,0,TM,1554224400,82,36.54,61.16,60.8,2.59
Mayumba,80,GA,1554226782,90,-3.44,10.65,83.69,5.73
Sanchazi,40,CN,1554226884,93,30.43,103.62,61,2.24
Carmelo,40,UY,1554226212,55,-34,-58.28,87.8,12.75
Sokolo,56,ML,1554227141,23,14.74,-6.12,99.71,7.74
Sarka Ghat,0,IN,1554227019,52,31.7,76.73,56.6,4.38
Kirksville,75,US,1554225300,66,40.19,-92.58,50,11.41
Cherskiy,92,RU,1554226827,81,68.75,161.3,28.97,7.4
La Mana,40,EC,1554226263,59,-0.93,-79.22,66,4.7
Kijang,0,KR,1554224400,41,35.24,129.21,42.8,6.93
Pechora,88,RU,1554226639,81,65.12,57.16,30.68,9.42
Trincomalee,0,LK,1554227139,87,8.58,81.23,75.5,5.73
Lagoa,20,PT,1554226647,77,37.14,-8.45,66,9.17
Moindou,0,NC,1554226200,88,-21.69,165.68,68,2.24
Nezhinka,0,RU,1554224400,60,51.77,55.37,42.8,17.9
Vilcun,0,CL,1554226285,68,-38.65,-72.23,71.01,10.29
Finschhafen,68,PG,1554227092,97,-6.6,147.85,72.89,0.58
Nanyang,56,CN,1554227387,89,33,112.53,49.04,4.5
Codrington,75,AU,1554226896,93,-28.95,153.24,64.4,5.82
Margate,0,AU,1554226455,62,-43.03,147.26,60.01,8.05
Barrow,0,AR,1554226447,48,-38.31,-60.23,75.14,19.6
Richards Bay,92,ZA,1554227320,100,-28.77,32.06,65.6,3.71
Japura,88,ID,1554226999,97,-0.42,102.29,71.9,2.37
Torbay,20,CA,1554226714,37,47.66,-52.73,39,29.97
Baghdad,0,IQ,1554224400,55,33.3,44.38,64.4,4.7
Karratha,0,AU,1554227066,89,-20.74,116.85,71.27,3.04
Moerai,36,PF,1554227102,93,-22.43,-151.33,80.63,14.67
Lichinga,20,MZ,1554226993,79,-13.3,35.25,70.55,5.95
Goderich,76,CA,1554226707,71,43.74,-81.71,46.99,15.99
Nikolskoye,0,RU,1554226565,55,59.7,30.79,36,4.47
Thompson,75,CA,1554224400,56,55.74,-97.86,14,14.99
Kaitangata,8,NZ,1554226760,70,-46.28,169.85,46,3
Sisophon,20,KH,1554227371,83,13.59,102.97,73.79,2.37
Wendo,80,ET,1554227106,47,6.6,38.42,69.02,3.38
La Asuncion,75,EC,1554224400,52,-1.64,-78.74,69.8,9.17
Marsh Harbour,0,BS,1554226604,94,26.54,-77.06,78.02,14
Ojinaga,1,US,1554227156,29,29.56,-104.41,72,3.49
Luoyang,56,CN,1554227120,48,34.66,112.42,49.49,6.96
Bontang,76,ID,1554226934,100,0.12,117.47,76.4,5.06
Upernavik,44,GL,1554226318,100,72.79,-56.15,14.03,19.04
Goderich,76,CA,1554226707,71,43.74,-81.71,46.99,15.99
Labuhan,64,ID,1554227007,97,-2.54,115.51,72.35,2.04
Airai,56,TL,1554226433,85,-8.93,125.41,69.29,0.13
Guerrero Negro,20,MX,1554227028,51,27.97,-114.04,70.46,3.6
Aasiaat,92,GL,1554227326,89,68.71,-52.87,30.14,27.09
Tiksi,48,RU,1554226805,75,71.64,128.87,4.94,2.37
Lichinga,20,MZ,1554226993,79,-13.3,35.25,70.55,5.95
Naze,75,NG,1554224400,70,5.43,7.07,87.8,8.05
Aripuana,36,BR,1554227021,74,-9.17,-60.63,92.24,2.93
Saint George,0,GR,1554225600,58,39.45,22.34,59,5.95
Yuanping,0,CN,1554227134,71,38.72,112.71,24.92,2.15
North Bend,90,US,1554226828,93,43.41,-124.22,55.99,3.36
